Project Name,BHK,price,Possession Status (Ready / Under Construction),amenities,propertyImages,fullAddress,Title,City,Locality,City + Locality
Ashwini,1BHK,₹1.11 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-1e5179453b5df91d.jpg""",Mumbai chembur,Ashwini 1BHK,Mumbai,Ashoknagar Chembur,Mumbai - Ashoknagar Chembur
Ashwini,2BHK,₹2.22 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1756971672464-7c8c73119cb2047b.jpg""",Mumbai chembur,Ashwini 2BHK,Mumbai,Ashoknagar Chembur,Mumbai - Ashoknagar Chembur
Pristine02,2BHK,₹12.0 Cr,READY_TO_MOVE,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238541-c8a6e3aced460e18.jpg""","sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",Pristine02 2BHK,Pune,Shivajinagar,Pune - Shivajinagar
Pristine02,2BHK,₹21.0 Cr,READY_TO_MOVE,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757011238542-bd3d1a40c2d7fadb.jpg""","sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",Pristine02 2BHK,Pune,Shivajinagar,Pune - Shivajinagar
Gurukripa,1BHK,₹1.3 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391106-7c383f81d9c66290.jpg""","Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Gurukripa 1BHK,Mumbai,Chembur,Mumbai - Chembur
Gurukripa,1BHK,₹1.5 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391150-9b806803ceb0c8b6.jpg""","Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Gurukripa 1BHK,Mumbai,Chembur,Mumbai - Chembur
Gurukripa,3BHK,₹2.9 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391167-19d3844213de86cb.jpg""","Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Gurukripa 3BHK,Mumbai,Chembur,Mumbai - Chembur
Gurukripa,3BHK,₹2.9 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391188-7b25319224e8a812.jpg""","Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Gurukripa 3BHK,Mumbai,Chembur,Mumbai - Chembur
Gurukripa,2BHK,₹2.6 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391202-e4d28b891dcb832f.jpg""","Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Gurukripa 2BHK,Mumbai,Chembur,Mumbai - Chembur
Gurukripa,2BHK,₹3.3 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757322391218-4ca8b878a42de5ae.jpg""","Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Gurukripa 2BHK,Mumbai,Chembur,Mumbai - Chembur
Hari om,1BHK,₹1.3 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645448-dbde48f7805f3bd0.jpg""","Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",Hari om 1BHK,Mumbai,Ashoknagar Chembur,Mumbai - Ashoknagar Chembur
Hari om,2BHK,₹1.9 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645449-b2f826d061804b98.jpg""","Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",Hari om 2BHK,Mumbai,Ashoknagar Chembur,Mumbai - Ashoknagar Chembur
Hari om,3BHK,₹2.3 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645451-d9b3e0a968cfc871.jpg""","Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",Hari om 3BHK,Mumbai,Ashoknagar Chembur,Mumbai - Ashoknagar Chembur
Om makarand heights,1BHK,₹8.5 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712591-aa79bad30786e10c.jpg""","104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Om makarand heights 1BHK,Mumbai,Heights Ashoknagar Chembur,Mumbai - Heights Ashoknagar Chembur
Om makarand heights,1BHK,₹7.9 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712594-cd33c56e7db9cd37.jpg""","104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Om makarand heights 1BHK,Mumbai,Heights Ashoknagar Chembur,Mumbai - Heights Ashoknagar Chembur
Om makarand heights,1BHK,₹8.8 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712598-d2ac8b8887119ad8.jpg""","104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Om makarand heights 1BHK,Mumbai,Heights Ashoknagar Chembur,Mumbai - Heights Ashoknagar Chembur
Om makarand heights,2BHK,₹1.2 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712607-8e031215d719e572.jpg""","104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Om makarand heights 2BHK,Mumbai,Heights Ashoknagar Chembur,Mumbai - Heights Ashoknagar Chembur
Om makarand heights,2BHK,₹1.4 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712608-e94b60550c5c2690.jpg""","104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Om makarand heights 2BHK,Mumbai,Heights Ashoknagar Chembur,Mumbai - Heights Ashoknagar Chembur
Sainath Vrindavan,1BHK,₹1.2 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210665-ab087e966ba018ff.jpg""",Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,Sainath Vrindavan 1BHK,Mumbai,Vrindavan Ashoknagar Chembur,Mumbai - Vrindavan Ashoknagar Chembur
Sainath Vrindavan,2BHK,₹1.7 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210672-3f6998fafc9e8521.jpg""",Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,Sainath Vrindavan 2BHK,Mumbai,Vrindavan Ashoknagar Chembur,Mumbai - Vrindavan Ashoknagar Chembur
Sainath Vrindavan,2BHK,₹1.9 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210678-f61b2d8c4b4a4a50.jpg""",Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,Sainath Vrindavan 2BHK,Mumbai,Vrindavan Ashoknagar Chembur,Mumbai - Vrindavan Ashoknagar Chembur
Sainath Vrindavan,3BHK,₹3.3 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210682-37e9e8c4f43b5b32.jpg""",Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,Sainath Vrindavan 3BHK,Mumbai,Vrindavan Ashoknagar Chembur,Mumbai - Vrindavan Ashoknagar Chembur
Avenue 15,1BHK,₹98.9 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136186-23bdb16c58a9e122.jpg""",AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015,Avenue 15 1BHK,Mumbai,Ashoknagar Chembur,Mumbai - Ashoknagar Chembur
Avenue 15,1BHK,₹1.4 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136187-7ce77cd129550d77.jpg""",AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015,Avenue 15 1BHK,Mumbai,Ashoknagar Chembur,Mumbai - Ashoknagar Chembur
Avenue 15,2BHK,₹1.5 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757401136188-b404a27ba98528f4.jpg""",AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Maharashtra 400015,Avenue 15 2BHK,Mumbai,Ashoknagar Chembur,Mumbai - Ashoknagar Chembur
Swaroop Aditya Avenue,Office,₹59.75 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417346-ede3eaf6864e2efa.jpg""","Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",Swaroop Aditya Avenue Office,Mumbai,Avenue Ashoknagar Chembur,Mumbai - Avenue Ashoknagar Chembur
Swaroop Aditya Avenue,Office,₹77.2 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417347-f5e0ac2f495d60e1.jpg""","Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",Swaroop Aditya Avenue Office,Mumbai,Avenue Ashoknagar Chembur,Mumbai - Avenue Ashoknagar Chembur
Swaroop Aditya Avenue,Office,₹1.5 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757402417348-9bfc082c0bba270f.jpg""","Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",Swaroop Aditya Avenue Office,Mumbai,Avenue Ashoknagar Chembur,Mumbai - Avenue Ashoknagar Chembur
Marigold miraaya ,2BHK,₹89.0 L,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-3b21d5295d1b7bce.jpg""","Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",Marigold miraaya  2BHK,Mumbai,Miraaya  Ashoknagar Chembur,Mumbai - Miraaya  Ashoknagar Chembur
Marigold miraaya ,2BHK,₹1.0 Cr,UNDER_CONSTRUCTION,Unknown,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-19520d6cb5866f61.jpg""","Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",Marigold miraaya  2BHK,Mumbai,Miraaya  Ashoknagar Chembur,Mumbai - Miraaya  Ashoknagar Chembur
